Right cycle,Right start,Right end,Stance right ,percent_stance_right,Initial swing right,Percent initial right,Mid swing right,Percent mid swing right ,Terminal right,Percent termial right
29,2373,2455,2373,0.3493975903614458,2402,0.14457831325301204,2414,0.3614457831325301,2444,0.14457831325301204
30,2456,2542,2456,0.3448275862068966,2486,0.14942528735632185,2499,0.3333333333333333,2528,0.1724137931034483
31,2543,2627,2543,0.3411764705882353,2572,0.15294117647058825,2585,0.35294117647058826,2615,0.15294117647058825
32,2628,2713,2628,0.3372093023255814,2657,0.16279069767441862,2671,0.3488372093023256,2701,0.1511627906976744
33,2714,2800,2714,0.3448275862068966,2744,0.14942528735632185,2757,0.3563218390804598,2788,0.14942528735632185
34,2801,2885,2801,0.36470588235294116,2832,0.12941176470588237,2843,0.36470588235294116,2874,0.1411764705882353
35,2886,2970,2886,0.35294117647058826,2916,0.1411764705882353,2928,0.36470588235294116,2959,0.1411764705882353
36,2971,3051,2971,0.35802469135802467,3000,0.14814814814814814,3012,0.35802469135802467,3041,0.13580246913580246
37,3052,3137,3052,0.3488372093023256,3082,0.1511627906976744,3095,0.32558139534883723,3123,0.1744186046511628
38,3138,3222,3138,0.32941176470588235,3166,0.16470588235294117,3180,0.3411764705882353,3209,0.16470588235294117
39,3223,3307,3223,0.36470588235294116,3254,0.1411764705882353,3266,0.3411764705882353,3295,0.15294117647058825
40,3308,3389,3308,0.36585365853658536,3338,0.12195121951219512,3348,0.35365853658536583,3377,0.15853658536585366
41,3390,3473,3390,0.34523809523809523,3419,0.15476190476190477,3432,0.34523809523809523,3461,0.15476190476190477
42,3474,3556,3474,0.3493975903614458,3503,0.14457831325301204,3515,0.3493975903614458,3544,0.1566265060240964
43,3557,3639,3557,0.37349397590361444,3588,0.13253012048192772,3599,0.3493975903614458,3628,0.14457831325301204
44,3640,3723,3640,0.34523809523809523,3669,0.14285714285714285,3681,0.34523809523809523,3710,0.16666666666666666
45,3724,3804,3724,0.37037037037037035,3754,0.13580246913580246,3765,0.35802469135802467,3794,0.13580246913580246
46,3805,3886,3805,0.3902439024390244,3837,0.12195121951219512,3847,0.35365853658536583,3876,0.13414634146341464
47,3887,3968,3887,0.3780487804878049,3918,0.12195121951219512,3928,0.36585365853658536,3958,0.13414634146341464
48,3969,4050,3969,0.35365853658536583,3998,0.14634146341463414,4010,0.35365853658536583,4039,0.14634146341463414
49,4051,4133,4051,0.3614457831325301,4081,0.14457831325301204,4093,0.3493975903614458,4122,0.14457831325301204
50,4134,4215,4134,0.3780487804878049,4165,0.12195121951219512,4175,0.36585365853658536,4205,0.13414634146341464
51,4216,4297,4216,0.36585365853658536,4246,0.14634146341463414,4258,0.35365853658536583,4287,0.13414634146341464
