type,begin_time,frequency,count,created with version,exported with version,project,last_name,first_name,born,sex,measurement_date,record_name
record,0,100,8560,Noraxon MR3 3.20.18,3.20.18,operator test,Hoang Trung Hieu,,,male,2023-07-21T09:30:08.334Z,running04-09
,,,,,,,,,,,,
time,Activity,Marker,LT Max Pressure (N/cm²),RT Max Pressure (N/cm²),,,,,Trials in Nexus,4,2023-07-21T09:30:22.726Z,
1.42,,,0,19.52064872,,,,,,,,
1.43,,,0,16.82911737,,,,,,,,
1.44,,,0,14.44843154,,,,,,,,
1.45,,,0,12.34181346,,,,,,,,
1.46,,,0,9.849574582,,,,,,,,
1.47,,,0,8.198448149,,,,,,,,
1.48,,,0,9.367033192,,,,,,,,
1.49,,,0,0,,,,,,,,
1.5,,,0,0,,,,,,,,
1.51,,,0,0,,,,,,,,
1.52,,,0,0,,,,,,,,
1.53,,,0,0,,,,,,,,
1.54,,,0,0,,,,,,,,
1.55,,,0,0,,,,,,,,
1.56,,,0,0,,,,,,,,
1.57,,,0,0,,,,,,,,
1.58,,,0,0,,,,,,,,
1.59,,,10.44391098,0,,,,,,,,
1.6,,,11.34474521,0,,,,,,,,
1.61,,,12.79808906,0,,,,,,,,
1.62,,,13.69998638,0,,,,,,,,
1.63,,,14.97395262,0,,,,,,,,
1.64,,,16.82972409,0,,,,,,,,
1.65,,,17.84235423,0,,,,,,,,
1.66,,,19.19691939,0,,,,,,,,
1.67,,,22.11599453,0,,,,,,,,
1.68,,,24.65442023,0,,,,,,,,
1.69,,,26.00993506,0,,,,,,,,
1.7,,,27.88519434,0,,,,,,,,
1.71,,,29.91614499,0,,,,,,,,
1.72,,,30.01427619,0,,,,,,,,
1.73,,,28.3722994,0,,,,,,,,
1.74,,,26.73230716,0,,,,,,,,
1.75,,,26.2746898,0,,,,,,,,
1.76,,,25.943498,0,,,,,,,,
1.77,,,24.94645539,0,,,,,,,,
1.78,,,23.08110692,0,,,,,,,,
1.79,,,20.11846447,0,,,,,,,,
1.8,,,16.52660063,0,,,,,,,,
1.81,,,13.95293425,0,,,,,,,,
1.82,,,12.22293917,0,,,,,,,,
1.83,,,9.993613546,0,,,,,,,,
1.84,,,7.888838809,0,,,,,,,,
1.85,,,6.702268268,0,,,,,,,,
1.86,,,5.740524957,0,,,,,,,,
1.87,,,4.990183328,0,,,,,,,,
1.88,,,5.500862917,0,,,,,,,,
1.89,,,0,0,,,,,,,,
1.9,,,0,0,,,,,,,,
1.91,,,0,0,,,,,,,,
1.92,,,0,0,,,,,,,,
1.93,,,0,0,,,,,,,,
1.94,,,0,0,,,,,,,,
1.95,,,0,0,,,,,,,,
1.96,,,0,0,,,,,,,,
1.97,,,0,0,,,,,,,,
1.98,,,0,8.296559163,,,,,,,,
1.99,,,0,8.720758276,,,,,,,,
2,,,0,9.88902107,,,,,,,,
2.01,,,0,10.89182402,,,,,,,,
2.02,,,0,11.83376497,,,,,,,,
2.03,,,0,12.99660954,,,,,,,,
2.04,,,0,14.55069077,,,,,,,,
2.05,,,0,16.57690615,,,,,,,,
2.06,,,0,18.97979075,,,,,,,,
2.07,,,0,21.28701131,,,,,,,,
2.08,,,0,23.13359403,,,,,,,,
2.09,,,0,24.81604251,,,,,,,,
2.1,,,0,26.65977319,,,,,,,,
2.11,,,0,28.30708155,,,,,,,,
2.12,,,0,29.5860487,,,,,,,,
2.13,,,0,30.9182684,,,,,,,,
2.14,,,0,32.23765034,,,,,,,,
2.15,,,0,32.87615099,,,,,,,,
2.16,,,0,32.66451895,,,,,,,,
2.17,,,0,31.9177445,,,,,,,,
2.18,,,0,30.38905485,,,,,,,,
2.19,,,0,27.94903249,,,,,,,,
2.2,,,0,25.05260211,,,,,,,,
2.21,,,0,21.54544934,,,,,,,,
2.22,,,0,17.57384429,,,,,,,,
2.23,,,0,14.28510621,,,,,,,,
2.24,,,0,12.12548312,,,,,,,,
2.25,,,0,10.29653956,,,,,,,,
2.26,,,0,8.399861951,,,,,,,,
2.27,,,0,7.066296953,,,,,,,,
2.28,,,0,8.104831102,,,,,,,,
2.29,,,0,0,,,,,,,,
2.3,,,0,0,,,,,,,,
2.31,,,0,0,,,,,,,,
2.32,,,0,0,,,,,,,,
2.33,,,0,0,,,,,,,,
2.34,,,0,0,,,,,,,,
2.35,,,0,0,,,,,,,,
2.36,,,0,0,,,,,,,,
2.37,,,0,0,,,,,,,,
2.38,,,0,0,,,,,,,,
2.39,,,8.920219703,0,,,,,,,,
2.4,,,8.924434692,0,,,,,,,,
