
Model Outputs
100
,,Hoang Trung Hieu lower pig:LAbsAnkleAngle,,,Hoang Trung Hieu lower pig:LAnkleAngles,,,Hoang Trung Hieu lower pig:LAnkleForce,,,Hoang Trung Hieu lower pig:LAnkleMoment,,,Hoang Trung Hieu lower pig:LAnklePower,,,Hoang Trung Hieu lower pig:LFE,,,,,,,,,Hoang Trung Hieu lower pig:LFO,,,,,,,,,Hoang Trung Hieu lower pig:LFootProgressAngles,,,Hoang Trung Hieu lower pig:LHipAngles,,,Hoang Trung Hieu lower pig:LHipForce,,,Hoang Trung Hieu lower pig:LHipMoment,,,Hoang Trung Hieu lower pig:LHipPower,,,Hoang Trung Hieu lower pig:LKneeAngles,,,Hoang Trung Hieu lower pig:LKneeForce,,,Hoang Trung Hieu lower pig:LKneeMoment,,,Hoang Trung Hieu lower pig:LKneePower,,,Hoang Trung Hieu lower pig:LPelvisAngles,,,Hoang Trung Hieu lower pig:LTI,,,,,,,,,Hoang Trung Hieu lower pig:LTO,,,,,,,,,Hoang Trung Hieu lower pig:PEL,,,,,,,,,Hoang Trung Hieu lower pig:RAbsAnkleAngle,,,Hoang Trung Hieu lower pig:RAnkleAngles,,,Hoang Trung Hieu lower pig:RAnkleForce,,,Hoang Trung Hieu lower pig:RAnkleMoment,,,Hoang Trung Hieu lower pig:RAnklePower,,,Hoang Trung Hieu lower pig:RFE,,,,,,,,,Hoang Trung Hieu lower pig:RFO,,,,,,,,,Hoang Trung Hieu lower pig:RFootProgressAngles,,,Hoang Trung Hieu lower pig:RHipAngles,,,Hoang Trung Hieu lower pig:RHipForce,,,Hoang Trung Hieu lower pig:RHipMoment,,,Hoang Trung Hieu lower pig:RHipPower,,,Hoang Trung Hieu lower pig:RKneeAngles,,,Hoang Trung Hieu lower pig:RKneeForce,,,Hoang Trung Hieu lower pig:RKneeMoment,,,Hoang Trung Hieu lower pig:RKneePower,,,Hoang Trung Hieu lower pig:RPelvisAngles,,,Hoang Trung Hieu lower pig:RTI,,,,,,,,,Hoang Trung Hieu lower pig:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
26,0,-3.95749,0,0,-3.95758,1.23695,0.397408,,,,,,,,,,6.87977,-32.0974,-30.2472,1338.31,584.025,538.215,412.528,412.528,412.528,27.0276,-58.5087,13.7371,1243.4,666.901,128.927,166.93,166.93,166.93,-60.2628,-1.64744,-28.9399,52.7013,-0.0487135,22.0591,,,,,,,,,,56.0651,22.7031,-47.3556,,,,,,,,,,19.8543,5.58879,6.68067,8.9622,25.3123,28.1964,1163.25,599.768,186.856,368.869,368.869,368.869,27.0276,-58.5086,13.7371,1285.68,693.826,104.773,55.6433,55.6432,55.6432,4.37059,20.1418,-7.57682,1108.47,534.829,883.139,126.456,126.456,126.456,-18.1234,0,0,-18.2405,2.3327,-6.38475,,,,,,,,,,2.84806,20.495,13.0634,956.326,475.597,499.895,406.071,406.071,406.071,-14.9256,-34.7923,-16.2508,784.51,487.468,82.9368,160.467,160.467,160.467,-33.3666,11.2074,-18.7291,-0.187026,-5.18418,19.9215,,,,,,,,,,11.4831,10.6575,-29.3974,,,,,,,,,,19.8543,-5.58879,-6.68067,3.09361,35.1212,-18.0882,736.865,531.834,177.606,369.949,369.949,369.949,-14.9256,-34.7923,-16.2508,812.371,470.293,40.6301,53.4889,53.4888,53.4889
27,0,-5.86284,0,0,-5.86349,1.41761,-0.875328,,,,,,,,,,5.51744,-31.4661,-27.487,1335.13,582.909,540.845,412.006,412.006,412.006,25.115,-61.5508,14.806,1275.38,660.239,118.646,166.93,166.93,166.93,-62.95,-0.471316,-27.7345,52.0405,0.305727,19.3167,,,,,,,,,,50.6323,18.7345,-45.6745,,,,,,,,,,19.9883,5.35343,6.59553,6.75831,20.5589,26.1637,1191.39,595.382,173.635,370.54,370.54,370.539,25.1151,-61.5508,14.806,1319.25,686.134,96.2484,55.6433,55.6432,55.6432,4.14415,20.2597,-7.45762,1110.8,536.052,888.62,126.456,126.456,126.456,-19.0736,0,0,-19.2675,2.5752,-7.98026,,,,,,,,,,2.51664,21.1622,11.7797,954.37,475.637,506.456,406.863,406.863,406.863,-16.577,-32.1343,-16.1645,768.73,484.499,92.2502,160.467,160.467,160.467,-30.5882,11.1857,-20.0499,-0.697514,-5.16779,18.4739,,,,,,,,,,12.4584,10.5848,-27.9788,,,,,,,,,,19.9883,-5.35343,-6.59553,2.7774,36.4716,-18.073,726.263,531.284,188.21,371.487,371.487,371.487,-16.577,-32.1343,-16.1645,794.299,466.161,48.9951,53.4889,53.4889,53.4889
28,0,-7.13484,0,0,-7.13577,1.42383,-0.919156,,,,,,,,,,4.30487,-30.69,-24.8764,1331.55,582.311,542.004,411.461,411.461,411.461,22.9711,-64.938,15.5513,1306.01,653.595,110.265,166.93,166.93,166.93,-66.0348,0.503672,-26.2418,51.1965,0.55841,16.7369,,,,,,,,,,45.5314,15.1565,-44.2786,,,,,,,,,,20.0389,5.10813,6.55379,4.98494,16.0961,24.9835,1217.66,591.527,161.529,373.262,373.262,373.262,22.9711,-64.938,15.5512,1351.61,678.199,89.9926,55.6432,55.6432,55.6433,3.90568,20.2958,-7.37589,1113.26,537.208,892.87,126.456,126.456,126.456,-19.6285,0,0,-19.9194,2.82443,-9.60703,,,,,,,,,,2.24507,21.6361,10.9027,953.752,475.713,511.457,407.564,407.564,407.564,-18.2724,-29.5884,-15.9607,753.553,481.6,102.338,160.467,160.467,160.467,-27.9308,11.0843,-21.4091,-1.108,-5.11549,17.4913,,,,,,,,,,13.7938,10.665,-26.877,,,,,,,,,,20.0389,-5.10813,-6.55379,2.47505,38.0788,-18.0009,716.104,530.865,199.144,372.305,372.305,372.305,-18.2724,-29.5884,-15.9607,776.878,462.076,58.3412,53.4888,53.4889,53.4889
29,0,-7.90721,0,0,-7.9072,1.28483,0.0600598,,,,,,,,,,3.26515,-29.765,-22.4929,1327.49,582.242,541.64,410.922,410.922,410.922,20.6074,-68.5418,16.0821,1334.9,646.926,103.832,166.93,166.93,166.93,-69.3569,1.43264,-24.5397,50.1576,0.71064,14.3967,,,,,,,,,,40.6423,12.086,-43.2416,,,,,,,,,,20.0073,4.85375,6.55304,3.47745,11.9565,24.5408,1242.04,588.064,150.713,376.198,376.198,376.198,20.6074,-68.5418,16.0822,1382.27,670.036,85.9874,55.6432,55.6432,55.6433,3.65613,20.251,-7.32995,1115.86,538.298,895.89,126.456,126.456,126.456,-19.8067,0,0,-20.2124,3.08047,-11.2619,,,,,,,,,,2.04606,21.9237,10.4379,954.453,475.836,514.929,408.121,408.122,408.122,-20.0038,-27.1419,-15.6342,739.002,478.773,113.171,160.467,160.467,160.467,-25.3854,10.8987,-22.8025,-1.42212,-5.02816,16.9779,,,,,,,,,,15.4911,10.897,-26.0883,,,,,,,,,,20.0073,-4.85375,-6.55304,2.18354,39.9442,-17.8677,706.398,530.566,210.409,372.559,372.559,372.559,-20.0038,-27.1419,-15.6343,760.141,458.043,68.6231,53.4889,53.4889,53.4888
30,0,-8.37475,0,0,-8.37864,1.0461,1.74157,-0.19022,0.250041,-0.44261,-8.15811,3.49806e-15,33.2743,0,0,-0.122276,2.41314,-28.6928,-20.4015,1322.86,582.695,539.742,410.413,410.413,410.413,18.1402,-72.1377,16.514,1361.43,640.389,99.164,166.93,166.93,166.93,-72.6845,2.41577,-22.7946,48.9177,0.767762,12.3598,-1.04143,0.0143252,0.894901,872.901,-66.1246,13.6752,0,0,1.98901,35.8989,9.58496,-42.6022,-0.964885,0.706246,0.49654,-359.809,228.753,32.8051,0,0,-3.66882,19.8952,4.59169,6.58884,2.11186,8.15987,24.6984,1264.32,584.882,141.289,378.736,378.736,378.736,18.1401,-72.1377,16.5139,1410.4,661.947,83.8961,55.6432,55.6432,55.6432,3.39756,20.1265,-7.31627,1118.57,539.323,897.687,126.456,126.456,126.456,-19.6381,0,0,-20.1708,3.34143,-12.929,-0.185234,-0.0233231,-0.156545,-18.5752,3.49806e-15,1.47199,0,0,0.00904479,1.92446,22.0329,10.3867,956.438,475.998,516.893,408.511,408.511,408.511,-21.7499,-24.7796,-15.183,725.133,476.024,124.704,160.467,160.467,160.467,-22.941,10.6302,-24.213,-1.64449,-4.90981,16.9302,1.01371,-0.192613,0.421652,-356.229,28.0015,1.8626,0,0,-0.0950004,17.5425,11.2979,-25.6032,0.137406,0.151369,0.610877,-59.9485,-14.6293,-1.07418,0,0,0.213342,19.8952,-4.59169,-6.58884,1.90124,42.0655,-17.6732,697.188,530.36,222.005,372.39,372.39,372.39,-21.7499,-24.7796,-15.183,744.148,454.087,79.7789,53.4889,53.4889,53.4889
31,0,-8.7834,0,0,-8.80175,0.769099,3.68858,-0.110649,0.316344,-0.491787,6.2633,1.04942e-14,47.189,0,0,-0.154519,1.75332,-27.4824,-18.6486,1317.64,583.649,536.351,409.948,409.948,409.948,15.7927,-75.4185,17.0301,1384.73,634.385,95.7438,166.93,166.93,166.93,-75.7159,3.52523,-21.2834,47.4783,0.740058,10.6703,-1.2692,-0.0196217,0.951603,1045.03,-82.4534,25.134,0,0,2.78217,31.2908,7.67083,-42.3771,-1.10035,0.805292,0.459294,-428.307,278.411,46.6567,0,0,-4.19528,19.7044,4.32449,6.65377,0.803771,4.73084,25.3185,1284.12,581.878,133.24,380.507,380.507,380.507,15.7927,-75.4185,17.0301,1434.98,654.582,82.9512,55.6432,55.6432,55.6432,3.13375,19.9238,-7.32858,1121.39,540.285,898.275,126.456,126.456,126.456,-19.1654,0,0,-19.8294,3.60343,-14.5803,-0.195698,-0.0243453,-0.147413,-18.5971,-7.87063e-15,0.636892,0,0,0.0151524,1.87639,21.973,10.7437,959.649,476.169,517.365,408.739,408.739,408.739,-23.4746,-22.4844,-14.6083,712.044,473.365,136.878,160.467,160.467,160.467,-20.584,10.2851,-25.6093,-1.7807,-4.76865,17.3338,0.989863,-0.244764,0.418842,-359.725,59.6774,1.51989,0,0,-0.0500613,19.9298,11.9012,-25.3988,0.145852,0.126041,0.636942,-51.0301,-12.5775,-2.08995,0,0,0.21523,19.7044,-4.32449,-6.65377,1.62893,44.434,-17.4196,688.564,530.2,233.931,371.905,371.905,371.905,-23.4746,-22.4844,-14.6082,729.002,450.245,91.7229,53.4889,53.4889,53.4889
32,0,-9.37692,0,0,-9.41916,0.52425,5.40262,-0.0261805,0.381922,-0.545965,18.8156,5.24708e-15,59.4225,0,0,-0.12314,1.27882,-26.1511,-17.2576,1311.82,585.063,531.572,409.527,409.527,409.527,13.8435,-78.0562,17.8838,1403.9,629.453,92.7705,166.93,166.93,166.93,-78.1268,4.81712,-20.3435,45.8515,0.643777,9.34957,-1.47372,-0.0633663,1.00213,1206.96,-106.63,35.7098,0,0,3.60245,26.8591,6.32615,-42.5619,-1.23937,0.904023,0.416928,-498.838,331.839,58.5072,0,0,-4.5951,19.4372,4.05626,6.73644,-0.495958,1.71056,26.272,1300.93,578.951,126.415,381.349,381.349,381.349,13.8435,-78.0563,17.8839,1454.96,648.798,82.0362,55.6432,55.6433,55.6432,2.8708,19.645,-7.35694,1124.28,541.192,897.676,126.456,126.456,126.456,-18.4429,0,0,-19.2329,3.8612,-16.181,-0.213043,-0.0231512,-0.134831,-19.013,9.61966e-15,-0.399281,0,0,0.0196688,1.88879,21.7536,11.4914,964.005,476.296,516.349,408.84,408.84,408.84,-25.1315,-20.2368,-13.9156,699.881,470.807,149.612,160.467,160.467,160.467,-18.2972,9.87454,-26.9496,-1.83612,-4.61708,18.1566,0.968959,-0.313762,0.415828,-372.747,99.1971,1.26842,0,0,-0.00420566,22.6268,12.7498,-25.4317,0.165485,0.0993847,0.673968,-37.4111,-11.4097,-3.32392,0,0,0.179481,19.4372,-4.05626,-6.73644,1.37023,47.0347,-17.1106,680.674,530.021,246.18,371.163,371.164,371.164,-25.1315,-20.2368,-13.9156,714.85,446.565,104.343,53.4889,53.4889,53.4889
33,0,-10.3089,0,0,-10.3748,0.377157,6.42783,0.0388722,0.425898,-0.604825,25.7111,5.24708e-15,66.1692,0,0,-0.0194803,0.971155,-24.7248,-16.2263,1305.44,586.877,525.57,409.141,409.142,409.142,12.5486,-79.7943,19.3186,1418.11,626.062,89.3712,166.93,166.93,166.93,-79.6515,6.32169,-20.2692,44.0616,0.501412,8.39489,-1.60803,-0.134447,1.06751,1325.66,-153.129,43.5382,0,0,4.2894,22.6882,5.50746,-43.1234,-1.36973,0.969905,0.399218,-564.868,375.222,64.7429,0,0,-4.70959,19.0969,3.79297,6.82146,-1.80485,-0.840312,27.4385,1314.16,575.992,120.548,381.262,381.262,381.262,12.5486,-79.7944,19.3187,1469.46,645.339,79.9947,55.6432,55.6432,55.6433,2.61722,19.2931,-7.38784,1127.21,542.053,895.931,126.456,126.456,126.456,-17.5327,0,0,-18.4342,4.10933,-17.6974,-0.236318,-0.0204428,-0.120262,-19.7901,1.74903e-15,-1.41839,0,0,0.0234342,1.94043,21.3838,12.5967,969.418,476.313,513.851,408.874,408.874,408.874,-26.673,-18.0135,-13.1147,688.838,468.355,162.81,160.467,160.467,160.467,-16.058,9.41298,-28.1898,-1.81411,-4.47091,19.3462,0.956381,-0.388138,0.420288,-396.575,141.799,1.35022,0,0,0.0527273,25.6036,13.8879,-25.6323,0.193776,0.0769116,0.724343,-20.3237,-11.4277,-4.57522,0,0,0.105227,19.0969,-3.79297,-6.82146,1.1318,49.8473,-16.7504,673.726,529.756,258.738,370.173,370.173,370.173,-26.673,-18.0135,-13.1148,701.879,443.087,117.505,53.4889,53.4889,53.4889
34,0,-11.5545,0,0,-11.6294,0.371623,6.46633,0.0662799,0.434886,-0.660655,24.7894,0,65.049,0,0,0.0987737,0.801849,-23.2386,-15.5273,1298.62,589.006,518.565,408.775,408.775,408.775,12.0791,-80.5339,21.4458,1426.74,624.386,84.8955,166.93,166.93,166.93,-80.1695,8.01728,-21.204,42.146,0.341208,7.78077,-1.63226,-0.236994,1.16873,1369.48,-225.119,44.7784,0,0,4.66019,18.8937,5.15515,-43.9919,-1.46943,0.975686,0.427504,-615.987,396.392,63.3167,0,0,-4.39274,18.6883,3.54258,6.88991,-3.11192,-2.84717,28.7042,1323.25,572.898,115.286,380.351,380.351,380.351,12.0791,-80.5339,21.4459,1477.86,644.512,76.0385,55.6432,55.6433,55.6433,2.38383,18.8727,-7.40431,1130.14,542.881,893.096,126.456,126.456,126.456,-16.4989,0,0,-17.4908,4.34365,-19.106,-0.263645,-0.0170677,-0.105377,-20.8471,-3.49806e-15,-2.23154,0,0,0.026837,2.00377,20.8706,14.0077,975.801,476.157,509.876,408.916,408.916,408.916,-28.0588,-15.786,-12.2179,679.137,466.004,176.362,160.467,160.467,160.467,-13.8361,8.91658,-29.2924,-1.71375,-4.34751,20.8277,0.954957,-0.455057,0.442055,-430.39,182.243,2.03451,0,0,0.130801,28.834,15.3487,-25.9023,0.224572,0.0637244,0.789003,-1.70065,-12.7251,-5.65652,0,0,0.000812415,18.6883,-3.54258,-6.88991,0.922869,52.8487,-16.3425,667.982,529.339,271.572,368.899,368.9,368.9,-28.0588,-15.786,-12.2179,690.293,439.833,131.066,53.4889,53.4889,53.4889
