
Model Outputs
100
,,Hoang Trung Hieu lower pig:LAbsAnkleAngle,,,Hoang Trung Hieu lower pig:LAnkleAngles,,,Hoang Trung Hieu lower pig:LAnkleForce,,,Hoang Trung Hieu lower pig:LAnkleMoment,,,Hoang Trung Hieu lower pig:LAnklePower,,,Hoang Trung Hieu lower pig:LFE,,,,,,,,,Hoang Trung Hieu lower pig:LFO,,,,,,,,,Hoang Trung Hieu lower pig:LFootProgressAngles,,,Hoang Trung Hieu lower pig:LHipAngles,,,Hoang Trung Hieu lower pig:LHipForce,,,Hoang Trung Hieu lower pig:LHipMoment,,,Hoang Trung Hieu lower pig:LHipPower,,,Hoang Trung Hieu lower pig:LKneeAngles,,,Hoang Trung Hieu lower pig:LKneeForce,,,Hoang Trung Hieu lower pig:LKneeMoment,,,Hoang Trung Hieu lower pig:LKneePower,,,Hoang Trung Hieu lower pig:LPelvisAngles,,,Hoang Trung Hieu lower pig:LTI,,,,,,,,,Hoang Trung Hieu lower pig:LTO,,,,,,,,,Hoang Trung Hieu lower pig:PEL,,,,,,,,,Hoang Trung Hieu lower pig:RAbsAnkleAngle,,,Hoang Trung Hieu lower pig:RAnkleAngles,,,Hoang Trung Hieu lower pig:RAnkleForce,,,Hoang Trung Hieu lower pig:RAnkleMoment,,,Hoang Trung Hieu lower pig:RAnklePower,,,Hoang Trung Hieu lower pig:RFE,,,,,,,,,Hoang Trung Hieu lower pig:RFO,,,,,,,,,Hoang Trung Hieu lower pig:RFootProgressAngles,,,Hoang Trung Hieu lower pig:RHipAngles,,,Hoang Trung Hieu lower pig:RHipForce,,,Hoang Trung Hieu lower pig:RHipMoment,,,Hoang Trung Hieu lower pig:RHipPower,,,Hoang Trung Hieu lower pig:RKneeAngles,,,Hoang Trung Hieu lower pig:RKneeForce,,,Hoang Trung Hieu lower pig:RKneeMoment,,,Hoang Trung Hieu lower pig:RKneePower,,,Hoang Trung Hieu lower pig:RPelvisAngles,,,Hoang Trung Hieu lower pig:RTI,,,,,,,,,Hoang Trung Hieu lower pig:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6862,-4.18249,0.117349,,,,,,,,,,,,,,,,,,,-4.16141,19.6731,0.602388,1104.04,569.12,894.734,126.456,126.456,126.456,-17.8339,0,0,-18.268,3.24353,-12.3061,,,,,,,,,,0.96235,-25.1016,14.3814,1279.02,535.113,522.67,415.545,415.545,415.545,-12.3524,-70.748,-17.6266,1387.17,537.222,83.4422,160.211,160.211,160.211,-70.3739,6.89092,-18.9969,44.7091,7.07147,10.8707,,,,,,,,,,21.3424,8.38697,-23.9645,,,,,,,,,,19.6862,4.18249,-0.117349,7.06786,-1.38233,-9.48154,1292.54,582.859,129.505,372.284,372.284,372.284,-12.3524,-70.748,-17.6266,1434.73,519.838,66.4819,53.4037,53.4036,53.4036
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.194,-4.02648,0.562016,,,,,,,,,,,,,,,,,,,-4.08276,19.1661,0.117902,1107.76,567.375,882.466,126.456,126.456,126.456,-12.1713,0,0,-12.7097,3.93021,-16.6052,,,,,,,,,,0.694483,-23.8522,17.8194,1271.85,535.169,509.613,412.2,412.2,412.2,-13.6696,-73.5189,-17.8921,1364.85,542.617,78.1067,160.211,160.211,160.211,-73.364,5.82195,-20.1926,42.812,7.63449,14.8607,,,,,,,,,,21.5456,10.7917,-23.5219,,,,,,,,,,19.194,4.02648,-0.562016,8.04593,0.83789,-5.80573,1268.91,590.628,118.706,370.833,370.833,370.833,-13.6697,-73.5189,-17.8921,1412.88,524.183,63.7574,53.4037,53.4037,53.4037
3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3896,-3.89663,1.13854,,,,,,,,,,,,,,,,,,,-4.05772,20.3423,-0.43273,1108.88,565.805,872.58,126.456,126.456,126.456,-6.91557,0,0,-7.3849,4.57692,-20.4846,,,,,,,,,,0.462589,-22.916,20.9459,1265.47,535.298,497.136,412.082,412.082,412.082,-14.3883,-75.9575,-18.4261,1342.18,547.427,73.6275,160.211,160.211,160.211,-75.9472,5.31957,-21.0455,42.9123,8.16384,18.5064,,,,,,,,,,22.1125,13.1627,-22.836,,,,,,,,,,20.3896,3.89663,-1.13854,8.98786,3.14469,-2.27078,1245.23,597.067,109.597,368.953,368.953,368.953,-14.3883,-75.9575,-18.426,1390.53,528.249,61.5252,53.4037,53.4037,53.4036
4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4593,-3.8541,1.58346,,,,,,,,,,,,,,,,,,,-4.08541,19.3974,-0.9131,1111.73,564.149,860.871,126.456,126.456,126.456,-2.03904,0,0,-2.22601,5.12914,-23.6484,,,,,,,,,,0.570586,-22.0943,23.0281,1260.53,535.87,485.749,409.389,409.389,409.389,-14.6396,-78.0441,-19.2165,1319.59,551.449,69.8705,160.211,160.211,160.211,-78.0917,5.32833,-21.6888,40.995,8.8223,21.0537,,,,,,,,,,23.1785,15.0029,-21.584,,,,,,,,,,19.4593,3.8541,-1.58346,9.81913,5.62793,0.752174,1221.91,602.239,102.071,367.286,367.286,367.286,-14.6396,-78.0441,-19.2166,1368.15,531.713,59.631,53.4037,53.4037,53.4037
5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6848,-3.86769,2.05128,,,,,,,,,,,,,,,,,,,-4.16716,18.6065,-1.4017,1113.75,562.556,849.894,126.456,126.456,126.456,2.44302,0,0,2.72279,5.59294,-26.1918,-0.288152,-0.0853179,0.0542517,-10.5669,-1.00569e-14,5.62548,0,0,0.102684,0.820807,-21.4983,24.4356,1256.57,536.779,475.106,407.515,407.515,407.515,-14.5391,-79.7708,-20.1485,1297.14,554.698,66.8419,160.211,160.211,160.211,-79.8032,5.71036,-22.1662,39.4522,9.53648,22.8845,1.34239,-0.43402,2.4523,-514.944,315.352,-37.9092,0,0,-1.49093,24.7775,16.5732,-20.0287,0.179,-0.0310951,1.28587,16.719,90.685,4.79569,0,0,-0.22161,18.6848,3.86769,-2.05128,10.5596,8.24869,3.33378,1198.94,606.267,96.1019,365.607,365.607,365.607,-14.5391,-79.7708,-20.1485,1345.81,534.549,58.0866,53.4037,53.4037,53.4037
6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0632,-3.92868,2.53587,,,,,,,,,,,,,,,,,,,-4.29486,17.9662,-1.8946,1114.94,561.038,839.672,126.456,126.456,126.456,6.51904,0,0,7.39713,5.96122,-28.1348,-0.272831,-0.0599812,0.0646015,-10.2199,-9.29171e-15,4.85151,0,0,0.0860108,1.181,-21.0942,25.2091,1253.35,537.962,465.173,406.357,406.357,406.357,-14.2228,-81.1204,-21.1433,1274.97,557.188,64.482,160.211,160.211,160.211,-81.0849,6.33871,-22.5392,38.2525,10.2948,24.043,0.929507,-0.250559,2.82376,-377.44,245.682,-31.7758,0,0,-0.895145,26.8714,17.8677,-18.2573,0.0336278,-0.0194259,1.2136,10.2832,71.2868,4.38024,0,0,-0.125998,18.0632,3.92868,-2.53587,11.2073,10.9824,5.43269,1176.44,609.302,91.594,364.029,364.029,364.029,-14.2228,-81.1204,-21.1433,1323.69,536.717,56.8382,53.4037,53.4036,53.4038
7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5872,-4.02487,3.03003,,,,,,,,,,,,,,,,,,,-4.45693,17.4695,-2.3873,1115.34,559.613,830.249,126.456,126.456,126.456,10.1711,0,0,11.7112,6.2368,-29.5436,-0.251543,-0.03581,0.0686409,-9.70716,-2.51423e-15,3.69295,0,0,0.0688963,1.61346,-20.8241,25.4301,1250.53,539.278,455.928,405.785,405.785,405.785,-13.8195,-82.0851,-22.1288,1253.16,558.986,62.7073,160.211,160.211,160.211,-81.9513,7.09027,-22.8556,37.3385,11.0693,24.6186,0.734021,-0.216023,2.75425,-272.028,205.104,-23.3671,0,0,-0.571627,29.3442,18.8836,-16.3707,-0.112567,0.000918011,1.13628,7.03493,49.5585,3.56801,0,0,-0.0641461,17.5872,4.02487,-3.03003,11.7691,13.7786,7.05064,1154.48,611.521,88.4127,362.668,362.668,362.668,-13.8194,-82.0851,-22.1288,1301.89,538.243,55.817,53.4037,53.4036,53.4037
8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2463,-4.14055,3.52534,,,,,,,,,,,,,,,,,,,-4.63802,17.1059,-2.87401,1115,558.305,821.687,126.456,126.456,126.456,13.3841,0,0,15.5869,6.43194,-30.5178,-0.228322,-0.0165161,0.0584144,-9.3792,-9.83828e-15,2.59305,0,0,0.0553716,2.07912,-20.6124,25.2103,1247.65,540.545,447.356,405.643,405.643,405.643,-13.4312,-82.6778,-23.053,1231.74,560.195,61.4159,160.211,160.211,160.211,-82.4336,7.86673,-23.1501,36.6312,11.8201,24.7356,0.383369,-0.0785984,2.90091,-109.232,131.515,-15.3726,0,0,-0.274175,32.0177,19.6299,-14.4716,-0.297991,0.0228949,1.01886,-4.13933,29.0836,2.78127,0,0,0.0089944,17.2463,4.14055,-3.52534,12.2603,16.5667,8.22874,1133.07,613.104,86.3828,361.611,361.611,361.611,-13.4312,-82.6778,-23.0531,1280.42,539.2,54.9502,53.4037,53.4037,53.4036
9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0264,-4.25713,4.01268,,,,,,,,,,,,,,,,,,,-4.81966,16.8625,-3.34876,1113.99,557.138,814.067,126.456,126.456,126.456,16.1555,0,0,18.9766,6.56431,-31.1675,-0.205261,-0.0033563,0.0404523,-9.34711,3.98997e-15,1.62992,0,0,0.0454654,2.54217,-20.375,24.6765,1244.22,541.585,439.451,405.769,405.769,405.769,-13.1219,-82.9378,-23.8918,1210.68,560.936,60.5011,160.211,160.211,160.211,-82.5826,8.60672,-23.4462,36.0378,12.503,24.5379,0.0920745,0.0499312,2.96835,47.484,55.9772,-7.6549,0,0,-0.0576831,34.6811,20.1336,-12.6564,-0.479603,0.0554141,0.884273,-17.0676,10.8586,2.11489,0,0,0.0680242,17.0264,4.25713,-4.01268,12.7013,19.2671,9.03286,1112.17,614.227,85.2967,360.89,360.89,360.89,-13.122,-82.9378,-23.8917,1259.26,539.688,54.1762,53.4037,53.4036,53.4036
