Left cycle,Left start,Left end,Stance left,percent_stance_left,Initial swing left,Percent initial left,Mid swing left,Percent mid swing left ,Terminal left,Percent termial left
1,81,158,81,0.38461538461538464,111,0.11538461538461539,120,0.3717948717948718,149,0.1282051282051282
2,159,238,159,0.375,189,0.1125,198,0.3875,229,0.125
3,239,319,239,0.35802469135802467,268,0.13580246913580246,279,0.37037037037037035,309,0.13580246913580246
4,320,401,320,0.35365853658536583,349,0.14634146341463414,361,0.36585365853658536,391,0.13414634146341464
5,402,483,402,0.35365853658536583,431,0.13414634146341464,442,0.36585365853658536,472,0.14634146341463414
6,484,565,484,0.36585365853658536,514,0.13414634146341464,525,0.3780487804878049,556,0.12195121951219512
7,566,648,566,0.3614457831325301,596,0.14457831325301204,608,0.3493975903614458,637,0.14457831325301204
8,649,730,649,0.3780487804878049,680,0.12195121951219512,690,0.35365853658536583,719,0.14634146341463414
9,731,812,731,0.35365853658536583,760,0.13414634146341464,771,0.34146341463414637,799,0.17073170731707318
10,813,894,813,0.34146341463414637,841,0.14634146341463414,853,0.36585365853658536,883,0.14634146341463414
11,895,978,895,0.35714285714285715,925,0.13095238095238096,936,0.35714285714285715,966,0.15476190476190477
12,979,1063,979,0.3411764705882353,1008,0.16470588235294117,1022,0.3411764705882353,1051,0.15294117647058825
13,1064,1148,1064,0.32941176470588235,1092,0.16470588235294117,1106,0.35294117647058826,1136,0.15294117647058825
14,1149,1231,1149,0.3614457831325301,1179,0.13253012048192772,1190,0.3614457831325301,1220,0.14457831325301204
15,1232,1316,1232,0.3411764705882353,1261,0.15294117647058825,1274,0.32941176470588235,1302,0.17647058823529413
16,1317,1400,1317,0.32142857142857145,1344,0.19047619047619047,1360,0.34523809523809523,1389,0.14285714285714285
17,1401,1485,1401,0.35294117647058826,1431,0.1411764705882353,1443,0.3411764705882353,1472,0.16470588235294117
18,1486,1570,1486,0.32941176470588235,1514,0.16470588235294117,1528,0.35294117647058826,1558,0.15294117647058825
19,1571,1655,1571,0.32941176470588235,1599,0.15294117647058825,1612,0.3411764705882353,1641,0.17647058823529413
20,1656,1739,1656,0.34523809523809523,1685,0.15476190476190477,1698,0.3333333333333333,1726,0.16666666666666666
21,1740,1824,1740,0.3411764705882353,1769,0.16470588235294117,1783,0.3411764705882353,1812,0.15294117647058825
22,1825,1908,1825,0.3333333333333333,1853,0.15476190476190477,1866,0.35714285714285715,1896,0.15476190476190477
23,1909,1990,1909,0.35365853658536583,1938,0.15853658536585366,1951,0.35365853658536583,1980,0.13414634146341464
24,1991,2075,1991,0.3411764705882353,2020,0.15294117647058825,2033,0.3411764705882353,2062,0.16470588235294117
25,2076,2159,2076,0.3333333333333333,2104,0.17857142857142858,2119,0.34523809523809523,2148,0.14285714285714285
26,2160,2243,2160,0.35714285714285715,2190,0.14285714285714285,2202,0.35714285714285715,2232,0.14285714285714285
27,2244,2328,2244,0.3411764705882353,2273,0.15294117647058825,2286,0.35294117647058826,2316,0.15294117647058825
28,2329,2413,2329,0.3411764705882353,2358,0.17647058823529413,2373,0.3411764705882353,2402,0.1411764705882353
29,2414,2498,2414,0.35294117647058826,2444,0.1411764705882353,2456,0.35294117647058826,2486,0.15294117647058825
30,2499,2584,2499,0.3372093023255814,2528,0.1744186046511628,2543,0.3372093023255814,2572,0.1511627906976744
31,2585,2670,2585,0.3488372093023256,2615,0.1511627906976744,2628,0.3372093023255814,2657,0.16279069767441862
32,2671,2756,2671,0.3488372093023256,2701,0.1511627906976744,2714,0.3488372093023256,2744,0.1511627906976744
33,2757,2842,2757,0.36046511627906974,2788,0.1511627906976744,2801,0.36046511627906974,2832,0.12790697674418605
34,2843,2927,2843,0.36470588235294116,2874,0.1411764705882353,2886,0.35294117647058826,2916,0.1411764705882353
35,2928,3011,2928,0.36904761904761907,2959,0.14285714285714285,2971,0.34523809523809523,3000,0.14285714285714285
36,3012,3094,3012,0.3493975903614458,3041,0.13253012048192772,3052,0.3614457831325301,3082,0.1566265060240964
37,3095,3179,3095,0.32941176470588235,3123,0.17647058823529413,3138,0.32941176470588235,3166,0.16470588235294117
38,3180,3265,3180,0.3372093023255814,3209,0.16279069767441862,3223,0.36046511627906974,3254,0.13953488372093023
39,3266,3347,3266,0.35365853658536583,3295,0.15853658536585366,3308,0.36585365853658536,3338,0.12195121951219512
40,3348,3431,3348,0.34523809523809523,3377,0.15476190476190477,3390,0.34523809523809523,3419,0.15476190476190477
41,3432,3514,3432,0.3493975903614458,3461,0.1566265060240964,3474,0.3493975903614458,3503,0.14457831325301204
42,3515,3598,3515,0.34523809523809523,3544,0.15476190476190477,3557,0.36904761904761907,3588,0.13095238095238096
43,3599,3680,3599,0.35365853658536583,3628,0.14634146341463414,3640,0.35365853658536583,3669,0.14634146341463414
