
Model Outputs
100
,,Hoang Trung Hieu lower pig:LAbsAnkleAngle,,,Hoang Trung Hieu lower pig:LAnkleAngles,,,Hoang Trung Hieu lower pig:LAnkleForce,,,Hoang Trung Hieu lower pig:LAnkleMoment,,,Hoang Trung Hieu lower pig:LAnklePower,,,Hoang Trung Hieu lower pig:LFE,,,,,,,,,Hoang Trung Hieu lower pig:LFO,,,,,,,,,Hoang Trung Hieu lower pig:LFootProgressAngles,,,Hoang Trung Hieu lower pig:LHipAngles,,,Hoang Trung Hieu lower pig:LHipForce,,,Hoang Trung Hieu lower pig:LHipMoment,,,Hoang Trung Hieu lower pig:LHipPower,,,Hoang Trung Hieu lower pig:LKneeAngles,,,Hoang Trung Hieu lower pig:LKneeForce,,,Hoang Trung Hieu lower pig:LKneeMoment,,,Hoang Trung Hieu lower pig:LKneePower,,,Hoang Trung Hieu lower pig:LPelvisAngles,,,Hoang Trung Hieu lower pig:LTI,,,,,,,,,Hoang Trung Hieu lower pig:LTO,,,,,,,,,Hoang Trung Hieu lower pig:PEL,,,,,,,,,Hoang Trung Hieu lower pig:RAbsAnkleAngle,,,Hoang Trung Hieu lower pig:RAnkleAngles,,,Hoang Trung Hieu lower pig:RAnkleForce,,,Hoang Trung Hieu lower pig:RAnkleMoment,,,Hoang Trung Hieu lower pig:RAnklePower,,,Hoang Trung Hieu lower pig:RFE,,,,,,,,,Hoang Trung Hieu lower pig:RFO,,,,,,,,,Hoang Trung Hieu lower pig:RFootProgressAngles,,,Hoang Trung Hieu lower pig:RHipAngles,,,Hoang Trung Hieu lower pig:RHipForce,,,Hoang Trung Hieu lower pig:RHipMoment,,,Hoang Trung Hieu lower pig:RHipPower,,,Hoang Trung Hieu lower pig:RKneeAngles,,,Hoang Trung Hieu lower pig:RKneeForce,,,Hoang Trung Hieu lower pig:RKneeMoment,,,Hoang Trung Hieu lower pig:RKneePower,,,Hoang Trung Hieu lower pig:RPelvisAngles,,,Hoang Trung Hieu lower pig:RTI,,,,,,,,,Hoang Trung Hieu lower pig:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3108,-2.58815,9.36881,,,,,,,,,,,,,,,,,,,-4.05673,18.0552,-8.8738,1107.94,553.016,791.507,126.456,126.456,126.456,25.8144,0,0,30.824,6.69628,-31.8064,,,,,,,,,,3.61212,-12.9568,17.7626,1184.62,529.688,402.63,405.828,405.828,405.828,-14.3103,-81.0313,-29.6872,1077.53,557.532,58.0083,160.562,160.562,160.562,-79.9802,12.662,-27.6428,29.2458,12.4292,24.1677,,,,,,,,,,40.4692,20.9057,-5.87968,,,,,,,,,,18.3108,2.58815,-9.36881,15.9702,30.9303,7.17132,983.862,617.43,87.239,360.022,360.022,360.022,-14.3103,-81.0312,-29.6873,1124.22,532.7,49.7592,53.5207,53.5207,53.5206
2,0,,,,,,,,,,,,,,,,7.66102,-16.2986,-17.0756,1240.66,653.393,386.995,424.298,424.298,424.298,,,,,,,,,,,,,34.4928,-11.7952,11.2673,,,,,,,,,,116.483,9.85567,-19.9555,,,,,,,,,,18.3756,-1.7108,9.31661,30.834,95.2606,20.3263,855.987,680.917,450.657,366.878,366.878,366.878,,,,,,,,,,-3.18603,18.1945,-8.96154,1106.25,553.758,795.653,126.456,126.456,126.456,26.4962,0,0,31.2537,6.46793,-30.6953,,,,,,,,,,4.38163,-10.4785,17.056,1165.26,532.734,402.375,406.168,406.168,406.168,-14.7376,-81.292,-29.0228,1054.12,558.196,58.4184,160.562,160.562,160.562,-80.4126,11.8165,-27.5662,26.7899,11.6581,24.1817,,,,,,,,,,38.8374,19.285,-6.89287,,,,,,,,,,18.3756,1.7108,-9.31661,15.2859,31.6625,6.12148,960.214,618.127,86.8243,361.887,361.887,361.887,-14.7376,-81.292,-29.0228,1100.9,533.428,50.5164,53.5207,53.5207,53.5207
3,0,,,,,,,,,,,,,,,,7.51288,-19.0584,-17.6571,1258.46,649.213,399.364,423.777,423.777,423.777,,,,,,,,,,,,,37.4144,-10.7278,11.7875,,,,,,,,,,116.419,10.0064,-19.1918,,,,,,,,,,18.4305,-0.86285,9.25053,29.7205,92.6006,19.4782,870.084,681.854,444.442,368.348,368.348,368.348,,,,,,,,,,-2.34123,18.3204,-9.03162,1104.93,554.607,800.658,126.456,126.456,126.456,26.3134,0,0,30.6652,6.25609,-29.6407,,,,,,,,,,5.00982,-7.9866,16.4342,1146.14,535.139,403.913,406.3,406.3,406.3,-15.3374,-80.694,-28.0397,1031.43,558.584,58.9768,160.562,160.562,160.562,-79.9808,10.8707,-27.3868,24.3607,10.7615,24.1956,,,,,,,,,,37.0341,17.8272,-8.02213,,,,,,,,,,18.4305,0.86285,-9.25053,14.5868,32.267,4.95946,937.626,618.39,87.9727,363.594,363.594,363.594,-15.3373,-80.6941,-28.0398,1078.23,533.965,50.709,53.5207,53.5207,53.5207
4,0,,,,,,,,,,,,,,,,7.35033,-21.5625,-18.3945,1274.56,644.948,412.552,423.471,423.471,423.471,,,,,,,,,,,,,40.0625,-9.64335,12.3697,,,,,,,,,,115.793,10.4408,-18.4451,,,,,,,,,,18.4763,-0.0432955,9.17119,28.4739,89.6373,18.6342,884.38,682.295,436.424,368.69,368.69,368.69,,,,,,,,,,-1.52154,18.4333,-9.08456,1103.96,555.566,806.51,126.456,126.456,126.456,25.2716,0,0,29.0948,6.05211,-28.6037,,,,,,,,,,5.50561,-5.47638,15.9053,1127.26,536.908,407.242,406.208,406.208,406.208,-16.0424,-79.2602,-26.7929,1009.46,558.688,59.6829,160.562,160.562,160.562,-78.6966,9.89002,-27.1118,21.9511,9.74753,24.2124,,,,,,,,,,35.0517,16.5283,-9.26747,,,,,,,,,,18.4763,0.0432955,-9.17119,13.8757,32.7408,3.6918,916.116,618.211,90.6702,365.112,365.112,365.112,-16.0424,-79.2602,-26.7929,1056.18,534.297,50.3453,53.5207,53.5206,53.5207
5,0,,,,,,,,,,,,,,,,7.17894,-23.8155,-19.2689,1288.97,640.621,426.475,423.206,423.206,423.206,,,,,,,,,,,,,42.4449,-8.54532,13.0081,,,,,,,,,,114.588,11.1323,-17.7998,,,,,,,,,,18.5143,0.747724,9.07903,27.1395,86.3446,17.8167,898.926,682.242,426.643,368.254,368.254,368.254,,,,,,,,,,-0.727217,18.5343,-9.12052,1103.35,556.633,813.187,126.456,126.456,126.456,23.3838,0,0,26.5864,5.84426,-27.5251,-0.231351,0.0315374,0.0976533,2.36304,1.63971e-15,-1.95375,0,0,0.0153168,5.87764,-2.94842,15.4655,1108.64,538.046,412.33,405.907,405.907,405.906,-16.7748,-77.0265,-25.3348,988.208,558.513,60.5336,160.562,160.562,160.562,-76.5864,8.9354,-26.7407,19.5602,8.62559,24.2227,0.911982,-0.382311,3.55905,-239.799,186.756,5.20717,0,0,-1.03149,32.8906,15.3775,-10.6312,-0.370123,0.0314627,1.45656,-20.6411,-16.2085,-2.05026,0,0,-0.102466,18.5143,-0.747724,-9.07903,13.1524,33.0816,2.31455,895.75,617.581,94.8657,366.426,366.426,366.426,-16.7748,-77.0265,-25.3348,1034.7,534.431,49.4458,53.5207,53.5206,53.5207
6,0,-1.19409,0,0,-1.19428,1.43521,-0.99936,,,,,,,,,,7.00338,-25.8213,-20.2617,1301.7,636.27,440.993,422.868,422.868,422.868,28.7594,-3.8476,-6.70407,915.1,749.031,316.226,167.19,167.19,167.19,-6.06177,-8.38688,-28.412,44.5689,-7.43931,13.6982,,,,,,,,,,112.8,12.0534,-17.3425,,,,,,,,,,18.5468,1.50836,8.97449,25.756,82.7151,17.0529,913.822,681.68,415.182,367.375,367.375,367.374,28.7594,-3.84755,-6.7041,920.276,775.547,267.483,55.7299,55.7299,55.7299,0.0396598,18.6258,-9.13955,1103.08,557.799,820.642,126.456,126.456,126.456,20.6821,0,0,23.2084,5.6193,-26.3332,-0.233376,0.0240425,0.091864,-0.00762087,6.18992e-15,-0.256615,0,0,0.000767616,6.13335,-0.410889,15.0959,1090.4,538.565,419.1,405.438,405.438,405.438,-17.4528,-74.0539,-23.7289,967.674,558.068,61.5295,160.562,160.562,160.562,-73.7021,8.06785,-26.272,17.1954,7.40891,24.2022,0.890086,-0.386624,3.4257,-271.939,201.014,6.0458,0,0,-1.14526,30.5632,14.3579,-12.1165,-0.267857,0.00741351,1.43659,-2.14441,-11.9258,-0.238469,0,0,-0.0179234,18.5468,-1.50836,-8.97449,12.413,33.289,0.8113,876.639,616.495,100.455,367.535,367.535,367.535,-17.4527,-74.054,-23.729,1013.74,534.378,48.0613,53.5207,53.5206,53.5207
7,0,-1.5049,0,0,-1.50493,1.34294,-0.349301,,,,,,,,,,6.82696,-27.5825,-21.3487,1312.77,631.956,455.909,422.397,422.397,422.397,27.0614,-7.68182,-6.14717,937.461,744.575,301.353,167.19,167.19,167.19,-9.86068,-8.59767,-26.464,46.4412,-6.33427,14.4314,,,,,,,,,,110.441,13.1668,-17.1563,,,,,,,,,,18.5777,2.23459,8.85816,24.3527,78.7632,16.371,929.205,680.582,402.183,366.35,366.35,366.35,27.0613,-7.68181,-6.14714,946.005,769.41,252.199,55.7299,55.7299,55.7299,0.774709,18.7109,-9.14152,1103.13,559.05,828.8,126.456,126.456,126.456,17.231,0,0,19.0706,5.36531,-24.9568,-0.238913,0.0155954,0.0835147,-3.47051,5.68434e-15,2.12388,0,0,-0.0304798,6.27815,2.1186,14.7643,1072.68,538.484,427.41,404.871,404.872,404.872,-17.9998,-70.4367,-22.064,947.87,557.36,62.6888,160.562,160.562,160.562,-70.1287,7.35483,-25.712,14.8739,6.11616,24.1142,0.916681,-0.408951,3.22475,-327.41,219.69,8.00571,0,0,-1.34223,28.0974,13.4502,-13.7244,-0.13511,-0.0084372,1.40282,19.5846,-8.70516,2.19554,0,0,0.0867832,18.5777,-2.23459,-8.85816,11.6516,33.3664,-0.84398,858.927,614.955,107.279,368.455,368.455,368.455,-17.9998,-70.4367,-22.064,993.22,534.14,46.298,53.5207,53.5206,53.5207
8,0,-1.96384,0,0,-1.96385,1.3088,-0.108767,,,,,,,,,,6.65082,-29.1012,-22.4953,1322.22,627.758,470.973,421.78,421.78,421.78,25.8359,-11.6418,-5.54175,960.778,740.319,286.259,167.19,167.19,167.19,-13.7898,-8.72741,-24.9897,48.0684,-5.24317,15.1905,,,,,,,,,,107.534,14.4181,-17.3142,,,,,,,,,,18.6117,2.92016,8.73109,22.9484,74.5232,15.7972,945.222,678.921,387.838,365.433,365.433,365.433,25.8359,-11.6419,-5.54174,972.819,763.862,237.202,55.73,55.7299,55.7299,1.47119,18.794,-9.12655,1103.48,560.368,837.555,126.456,126.456,126.456,13.1364,0,0,14.3318,5.07527,-23.3461,-0.248766,0.00539514,0.0690931,-8.01476,-1.5304e-14,5.05234,0,0,-0.07953,6.31529,4.61257,14.4294,1055.69,537.838,437.047,404.294,404.294,404.294,-18.3573,-66.3032,-20.46,928.813,556.385,64.0657,160.562,160.562,160.562,-65.986,6.87297,-25.0811,12.6229,4.77245,23.9158,0.979186,-0.437149,2.96749,-395.022,235.056,10.743,0,0,-1.55846,25.5403,12.6389,-15.4481,0.0085069,-0.0100287,1.35123,39.113,-7.21091,5.01593,0,0,0.183758,18.6117,-2.92016,-8.73109,10.8625,33.3254,-2.67911,842.757,612.978,115.134,369.213,369.213,369.213,-18.3573,-66.3032,-20.4599,973.092,533.698,44.3386,53.5207,53.5207,53.5207
9,0,-2.51422,0,0,-2.51424,1.31595,-0.159205,,,,,,,,,,6.47294,-30.3793,-23.6548,1330.1,623.764,485.903,421.032,421.032,421.032,24.9779,-15.7316,-4.85005,985.079,736.123,271.062,167.19,167.19,167.19,-17.8529,-8.76719,-23.8942,49.4571,-4.18287,15.9476,,,,,,,,,,104.11,15.7316,-17.8711,,,,,,,,,,18.6548,3.55674,8.59504,21.5523,70.045,15.3517,962.004,676.688,372.378,364.824,364.824,364.824,24.9779,-15.7316,-4.85005,1000.7,758.696,222.562,55.7298,55.7299,55.7299,2.12013,18.8806,-9.09525,1104.1,561.724,846.77,126.456,126.456,126.456,8.54983,0,0,9.19433,4.75078,-21.4961,-0.261355,-0.00670431,0.0447877,-13.2804,-4.80983e-15,8.20067,0,0,-0.140041,6.24642,7.03463,14.0477,1039.69,536.679,447.724,403.797,403.798,403.798,-18.501,-61.808,-19.0608,910.513,555.13,65.764,160.562,160.562,160.562,-61.4206,6.70284,-24.4188,10.4771,3.40912,23.5668,1.06056,-0.457794,2.67095,-461.086,238.853,13.7142,0,0,-1.7213,22.9602,11.9175,-17.2672,0.139951,0.00704096,1.28052,50.4322,-7.86248,7.79639,0,0,0.238971,18.6548,-3.55674,-8.59504,10.0444,33.1898,-4.71181,828.225,610.602,123.799,369.841,369.841,369.841,-18.501,-61.8079,-19.0608,953.308,533.005,42.4513,53.5207,53.5207,53.5206
